51300002147,dbb,174,291
51300063130,ggf,172,94
51300069666,daf,263,148
51300094684,ggc,236,98
51300101206,aff,59,128
51300101440,aad,215,260
51300125790,agg,243,125
51300183056,agg,197,138
51300185290,ffa,268,74
51300274656,dbd,260,84
51300295907,aed,96,194
51300337161,afc,40,195
51300353590,afb,11,220
51300426433,dgd,201,233
51300458807,cag,58,24
51300472506,ead,261,236
51300482386,dcc,269,73
51300511247,dag,223,84
51300513255,fef,170,111
51300513807,fed,63,112
51300661699,ecd,17,57
51300674289,fgf,185,18
51300723343,gce,40,68
51300741293,cdg,134,214
51300742186,ggd,294,163
51300785295,ccc,52,150
51300788011,eba,239,155
51300821871,abd,269,73
51300839671,adf,162,20
51300857210,bdf,54,189
51300862107,dfc,129,258
51300886625,ffa,239,68
51300931491,gbg,164,242
51300935501,cdf,146,251
51300942045,age,134,276
51300977193,cce,205,46
51301006742,bbc,16,51
51301023371,gcg,200,133
51301060905,acg,212,242
51301102261,bac,121,147
51301153512,bff,116,235
51301157177,dfc,101,307
51301166979,ged,111,297
51301209920,aee,197,141
51301237112,cfa,152,128
51301247305,bec,220,109
51301279252,gcb,181,213
51301291541,abd,65,81
51301303465,cfd,17,47
51301319160,deb,49,291
51301330088,bfg,218,222
51301338400,aea,188,117
51301343056,aca,39,177
51301345075,fbd,85,220
51301380605,fgd,106,276
51301387988,fgb,47,134
51301393833,dfa,109,243
51301402665,gcd,118,269
51301411987,agb,192,118
51301418749,cad,192,227
51301463211,eaa,138,129
51301482872,adg,252,271
51301491723,dae,241,76
51301501132,bcf,145,296
51301522631,dab,122,270
51301524759,gab,20,141
51301579934,ece,273,24
51301673076,abd,96,89
51301673194,fea,288,177
51301687609,ebg,77,275
51301707646,age,203,300
51301730467,fae,291,277
51301750767,fec,26,7
51301771039,bgf,262,273
51301787283,fbb,146,52
51301824820,dga,48,5
51301868785,gfb,97,31
51301899374,abf,62,278
51301905222,eee,179,13
51301905732,cab,212,107
51301986358,edb,276,219
51302013664,ced,63,200
51302026260,dfe,78,24
51302031415,eab,51,190
51302039861,bff,147,190
51302041254,eaf,172,138
51302077630,adc,123,212
51302107883,gad,68,262
51302133975,bef,158,152
51302140237,afa,232,281
51302172174,bdd,66,204
51302178020,ccg,48,231
51302186522,aea,95,124
51302205598,fcg,65,278
51302210320,dfb,198,102
51302216546,age,156,348
51302221375,egg,56,85
51302249072,edc,265,153
51302251429,agg,267,114
51302266704,gdc,96,181
